[2013-10-15 21:04:35,409] [Fanping-PC] [INFO ] [State Center is start listening... ]
[2013-10-15 21:04:37,470] [Fanping-PC] [INFO ] [put path ISE://system/state/worker/Fanping-PC ]
[2013-10-15 21:04:37,497] [Fanping-PC] [INFO ] [Added information to path-ISE://system/state/worker/Fanping-PC  value=System.Byte[] ]
[2013-10-15 21:04:37,504] [Fanping-PC] [INFO ] [Starting listen the worker's task... ]
[2013-10-15 21:04:45,503] [Fanping-PC] [INFO ] [Start Compile your code... ]
[2013-10-15 21:04:45,615] [Fanping-PC] [INFO ] [Preparing for send your application to platform... ]
[2013-10-15 21:04:45,670] [Fanping-PC] [INFO ] [Get children from path:ISE://system/state/worker ]
[2013-10-15 21:04:45,764] [Fanping-PC] [ERROR] [[Response 2013/10/15 21:04:45] a+b=3. ]
[2013-10-15 21:04:47,759] [Fanping-PC] [INFO ] [put path ISE://application/130263446855252849/ExampleApp/Fanping-PC ]
[2013-10-15 21:04:47,762] [Fanping-PC] [ERROR] [[Response 2013/10/15 21:04:47] a-b=-1. ]
[2013-10-15 21:04:47,773] [Fanping-PC] [INFO ] [Added information to path-ISE://application/130263446855252849/ExampleApp/Fanping-PC  value=System.Byte[] ]
[2013-10-15 21:04:47,829] [Fanping-PC] [INFO ] [Get children from path:ISE://application/130263446855252849/ExampleApp ]
[2013-10-15 21:04:47,839] [Fanping-PC] [INFO ] [Get from path-ISE://application/130263446855252849/ExampleApp/Fanping-PC ]
[2013-10-15 21:04:47,840] [Fanping-PC] [INFO ] [Get data from path:ISE://application/130263446855252849/ExampleApp/Fanping-PC ]
[2013-10-15 21:04:47,841] [Fanping-PC] [INFO ] [ISE://application/130263446855252849/ExampleApp/Fanping-PC:Finished with success! ]
[2013-10-15 21:11:11,647] [Fanping-PC] [INFO ] [State Center is start listening... ]
[2013-10-15 21:11:14,252] [Fanping-PC] [INFO ] [put path ISE://system/state/worker/Fanping-PC ]
[2013-10-15 21:11:14,278] [Fanping-PC] [INFO ] [Added information to path-ISE://system/state/worker/Fanping-PC  value=System.Byte[] ]
[2013-10-15 21:11:14,286] [Fanping-PC] [INFO ] [Starting listen the worker's task... ]
[2013-10-15 21:11:23,377] [Fanping-PC] [INFO ] [Start Compile your code... ]
[2013-10-15 21:11:23,470] [Fanping-PC] [INFO ] [Preparing for send your application to platform... ]
[2013-10-15 21:11:23,510] [Fanping-PC] [INFO ] [Get children from path:ISE://system/state/worker ]
[2013-10-15 21:11:23,593] [Fanping-PC] [INFO ] [put path ISE://application/130263450833970418/ExampleApp/Fanping-PC ]
[2013-10-15 21:11:23,595] [Fanping-PC] [INFO ] [Added information to path-ISE://application/130263450833970418/ExampleApp/Fanping-PC  value=System.Byte[] ]
[2013-10-15 21:11:23,648] [Fanping-PC] [INFO ] [Get children from path:ISE://application/130263450833970418/ExampleApp ]
[2013-10-15 21:11:23,655] [Fanping-PC] [INFO ] [Get from path-ISE://application/130263450833970418/ExampleApp/Fanping-PC ]
[2013-10-15 21:11:23,657] [Fanping-PC] [INFO ] [Get data from path:ISE://application/130263450833970418/ExampleApp/Fanping-PC ]
[2013-10-15 21:11:23,658] [Fanping-PC] [INFO ] [ISE://application/130263450833970418/ExampleApp/Fanping-PC:Finished with success! ]
